year,location,sqft,bedrooms,bathrooms,amenities,real_estate_type,crime_rates,area,Population,GDP (in crores),Fixed Deposit Interest Rate (% p.a.),Literacy Rate (%),Development Rate,HF,Area-wise Price,price
2000,Vesu,1083,5,1,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,91.59
2000,Pal,2517,5,1,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,36.64
2000,Althan,952,5,1,2,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,24.43
2000,Dindoli,1234,3,1,9,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,52.48
2000,City Light,980,2,1,8,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,53.34
2000,Bhestan,2898,5,2,2,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,20.02
2000,Katargam,1936,2,1,2,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,9.52
2000,Adajan,1406,3,1,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,34.98
2000,Sachin,1265,4,3,8,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,73.29
2000,Vesu,1526,1,1,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,5.0
2000,Bhestan,1833,4,1,5,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,37.47
2000,Pal,2951,1,1,8,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,40.02
2000,Pal,610,5,2,8,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,159.91
2000,Althan,2476,2,1,6,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,33.53
2000,Dindoli,732,3,3,1,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,7.49
2000,City Light,2074,2,3,2,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,18.65
2000,Pal,2940,2,3,4,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,46.65
2000,Varachha,2417,3,2,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,62.42
2000,Bhestan,1571,5,3,4,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,43.29
2000,Bhestan,2120,5,2,2,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,20.01
2000,Udhna,2204,1,1,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,14.33
2000,Athwa,2741,1,3,3,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,19.99
2000,Pal,1496,3,1,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,11.66
2000,Bhestan,2319,1,3,10,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,41.7
2000,Althan,2867,5,1,10,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,122.32
2000,Pal,2551,5,2,10,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,200.14
2000,Athwa,675,5,1,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,29.33
2000,Udhna,1439,1,3,9,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,42.95
2000,Dindoli,580,2,3,2,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,11.66
2000,Varachha,1615,4,1,9,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,90.14
2000,Ghod Dod Road,975,4,2,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,66.61
2000,Udhna,1747,1,1,7,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,19.99
2000,Ghod Dod Road,1228,3,3,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,60.04
2000,Varachha,951,3,1,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,31.14
2000,Sachin,584,5,2,5,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,49.97
2000,Varachha,2204,4,1,9,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,90.06
2000,Ghod Dod Road,1006,5,3,7,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,121.22
2000,Adajan,2054,3,3,7,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,104.93
2000,Katargam,2425,1,1,4,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,11.52
2000,Adajan,1727,4,1,5,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,75.04
2000,Althan,2332,3,1,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,54.64
2000,Katargam,885,4,3,6,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,62.85
2000,Piplod,1550,5,1,5,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,61.06
2000,City Light,2079,4,2,10,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,133.23
2000,Sachin,2186,5,2,9,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,89.98
2000,Katargam,696,1,3,4,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,19.03
2000,Piplod,1420,4,3,10,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,122.12
2000,Vesu,2233,1,3,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,8.33
2000,Ghod Dod Road,2692,5,2,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,16.01
2000,Adajan,2576,2,1,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,25.0
2000,Varachha,2988,2,3,6,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,46.76
2000,Katargam,1901,5,3,1,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,12.38
2000,Piplod,980,3,3,10,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,99.92
2000,City Light,1935,1,3,10,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,66.91
2000,Athwa,2011,1,2,9,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,48.1
2000,Ghod Dod Road,1971,5,2,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,64.0
2000,City Light,1135,5,1,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,29.32
2000,City Light,617,5,3,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,34.65
2000,City Light,1775,5,3,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,69.38
2000,City Light,2257,4,2,6,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,80.03
2000,Ghod Dod Road,762,4,3,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,58.63
2000,City Light,1521,3,2,2,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,21.32
2000,Sarthana,1995,1,1,3,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,8.63
2000,Vesu,1778,1,1,10,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,50.42
2000,Adajan,1269,3,2,6,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,79.94
2000,Althan,1126,5,2,3,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,39.99
2000,Vesu,1477,3,2,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,39.97
2000,Sachin,2432,5,3,10,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,108.31
2000,Piplod,1364,1,1,5,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,16.7
2000,Adajan,2425,1,2,10,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,66.66
2000,Udhna,2163,3,3,2,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,17.15
2000,Udhna,1355,3,3,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,59.99
2000,Althan,1429,5,2,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,53.37
2000,Sarthana,2351,2,1,4,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,19.13
2000,Ghod Dod Road,2847,3,1,6,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,55.97
2000,Ghod Dod Road,1791,3,2,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,42.68
2000,Sachin,2418,5,3,1,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,10.83
2000,Katargam,2612,5,3,3,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,37.15
2000,Udhna,1114,4,2,6,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,57.16
2000,Sarthana,1129,3,3,9,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,77.08
2000,Althan,2112,3,2,5,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,44.56
2000,Adajan,2198,1,2,10,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,66.66
2000,City Light,2045,3,1,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,18.68
2000,Dindoli,2643,3,2,2,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,13.32
2000,Piplod,1150,4,1,1,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,10.0
2000,Varachha,1941,5,1,2,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,24.43
2000,Ghod Dod Road,2137,5,2,3,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,48.0
2000,City Light,995,3,2,9,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,95.98
2000,Althan,2398,5,1,5,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,61.24
2000,Athwa,1682,3,2,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,42.73
2000,Vesu,2363,4,2,7,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,116.59
2000,Katargam,1086,5,1,6,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,62.87
2000,Althan,1335,2,1,3,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,16.68
2000,Udhna,1387,2,3,2,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,13.32
2000,Piplod,2765,4,2,2,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,22.24
2000,Piplod,1825,2,1,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,39.05
2000,Sachin,2430,1,2,5,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,16.69
2000,Adajan,2123,1,3,8,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,66.83
2000,Varachha,1533,4,3,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,97.87
2000,Udhna,1083,1,3,9,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,42.92
2000,City Light,1205,2,1,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,13.34
2000,Udhna,2332,2,3,3,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,20.02
2000,Dindoli,721,2,2,5,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,24.99
2000,Sachin,1474,4,3,2,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,18.32
2000,City Light,2382,4,1,10,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,120.07
2000,Sarthana,2068,3,1,8,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,53.46
2000,Adajan,2335,3,3,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,74.96
2000,Varachha,2809,5,1,2,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,24.43
2000,Pal,2813,3,1,2,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,23.46
2000,Althan,1346,1,1,7,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,23.32
2000,Piplod,692,3,1,3,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,23.33
2000,Dindoli,2770,5,3,4,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,43.33
2000,Ghod Dod Road,1501,5,1,7,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,102.58
2000,Pal,2494,5,2,5,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,99.93
2000,Udhna,1911,1,2,5,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,19.13
2000,Vesu,1234,2,3,9,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,105.04
2000,Pal,677,4,2,6,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,99.95
2000,Udhna,711,3,3,4,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,34.27
2000,Dindoli,2654,4,1,9,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,67.59
2000,Vesu,2064,2,3,7,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,81.97
2000,Sarthana,1505,2,1,7,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,33.41
2000,Katargam,1430,1,1,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,14.31
2000,Ghod Dod Road,1543,5,2,7,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,111.97
2000,Vesu,2656,4,3,6,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,110.1
2000,Ghod Dod Road,2890,5,2,5,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,80.04
2000,Athwa,708,2,1,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,33.31
2000,Dindoli,2966,1,1,7,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,17.5
2000,Althan,800,5,2,7,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,93.25
2000,Sarthana,545,4,3,6,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,62.82
2000,Sachin,2735,2,1,10,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,41.64
2000,Sachin,1413,4,2,1,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,8.33
2000,Vesu,2918,4,2,2,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,33.38
2000,City Light,2476,2,1,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,33.5
2000,Udhna,2410,4,1,10,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,85.66
2000,Adajan,1991,4,3,7,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,128.39
2000,Athwa,2606,2,2,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,40.17
2000,Athwa,991,3,1,6,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,56.04
2000,City Light,2896,4,3,3,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,44.03
2000,Varachha,2030,3,1,4,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,31.14
2000,Sarthana,2128,3,3,4,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,34.26
2000,Bhestan,1948,4,1,6,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,44.99
2000,Althan,1852,2,1,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,39.05
2000,Bhestan,2655,4,1,1,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,7.49
2000,Bhestan,756,3,3,5,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,37.47
2000,Dindoli,1346,1,2,4,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,13.36
2000,Pal,948,5,1,2,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,36.68
2000,Vesu,676,1,3,2,House,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,16.67
2000,Althan,2525,5,3,1,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,14.43
2000,City Light,2501,3,3,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,48.03
2000,Athwa,656,3,1,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,9.33
2000,Sarthana,947,2,1,1,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,4.77
2000,Sachin,1589,1,1,6,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,14.99
2000,Althan,1550,3,2,7,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,62.18
2000,Dindoli,2759,4,3,9,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,82.58
2000,Dindoli,1623,2,1,9,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,37.47
2000,Varachha,2961,3,2,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,62.48
2000,Piplod,639,5,1,3,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,36.63
2000,Sachin,2261,5,3,9,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,97.42
2000,City Light,2893,2,2,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,40.19
2000,Althan,2733,1,3,5,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,27.86
2000,Athwa,1171,4,1,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,59.95
2000,Dindoli,2722,4,3,7,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,64.23
2000,Athwa,1057,2,1,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,26.71
2000,Varachha,2767,2,1,9,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,49.99
2000,Vesu,841,2,2,9,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,89.93
2000,Katargam,2910,4,3,8,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,83.98
2000,Sachin,1591,2,2,7,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,34.97
2000,Piplod,1652,2,3,9,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,70.05
2000,Katargam,1928,5,2,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,80.0
2000,Sarthana,2584,3,2,2,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,15.25
2000,Bhestan,1004,5,3,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,108.29
2000,Athwa,842,4,3,8,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,117.23
2000,City Light,2461,3,1,1,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,9.36
2000,Sachin,961,1,2,2,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,6.67
2000,Ghod Dod Road,1016,2,1,10,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,66.62
2000,Ghod Dod Road,2858,3,3,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,60.17
2000,Udhna,932,5,1,2,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,20.93
2000,Sarthana,1736,4,3,1,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,10.47
2000,Udhna,1521,3,1,1,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,6.68
2000,Althan,2454,5,1,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,48.99
2000,Bhestan,1597,5,3,6,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,65.0
2000,Sarthana,930,3,2,10,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,76.17
2000,Dindoli,2295,4,2,1,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,8.33
2000,City Light,1579,5,3,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,34.66
2000,Sarthana,1008,2,2,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,28.57
2000,Udhna,2680,4,3,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,52.4
2000,Vesu,1896,4,3,1,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,18.37
2000,Sachin,1926,5,1,2,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,18.32
2000,Varachha,1109,3,1,9,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,69.95
2000,Ghod Dod Road,1141,1,1,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,19.99
2000,Varachha,1583,1,1,5,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,16.71
2000,Althan,1382,5,1,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,97.85
2000,Sachin,2885,3,2,4,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,26.68
2000,Adajan,572,2,1,10,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,83.4
2000,City Light,1957,4,1,8,House,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,96.03
2000,Varachha,2295,2,1,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,44.69
2000,Althan,1110,1,2,8,House,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,35.59
2000,Athwa,2624,1,3,4,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,26.81
2000,Adajan,505,4,1,3,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,44.96
2000,Bhestan,2791,4,2,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,83.44
2000,Sarthana,1803,5,2,6,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,68.56
2000,Katargam,1047,5,3,3,House,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,37.12
2000,Sachin,1926,5,2,8,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,79.93
2000,Athwa,1629,5,3,2,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,34.68
2000,Dindoli,1112,3,1,8,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,46.63
2000,Dindoli,1912,2,3,5,House,16.0,Area5,2867000,107,9.5,75.0,1.1,16.65,400,29.17
2000,Pal,1450,5,1,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,36.64
2000,Sarthana,1298,4,3,7,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,73.36
2000,Katargam,2969,3,1,5,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,19.03,550,33.32
2000,Vesu,1576,3,2,8,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,33.3,800,106.9
2000,Athwa,2775,2,2,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,26.64,600,40.18
2000,Varachha,1146,1,3,10,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,55.52
2000,Varachha,619,1,2,8,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,22.2,700,35.6
